cfe0d7d8f79b	Brimble_Allister/Superwriter_Data_Disk	17BIT	1988
b50aa7210728	Brimble_Allister/Superwriter_Data_Disk	17BIT	1988
cca3e8e1862a	Brimble_Allister/Superwriter_Data_Disk	17BIT	1988
d1b12c273ff4	Brimble_Allister/Superwriter_Data_Disk	17BIT	1988
07a968a75fb7	Brimble_Allister/Superwriter_Data_Disk	17BIT	1988
287ea6b623a9	Brimble_Allister/Superwriter_Data_Disk	17BIT	1988
3711bcf86d85	Brimble_Allister/Very_Best_of_Rob_Hubbard	17BIT	1989
7be862859c88	Brimble_Allister/Very_Best_of_Rob_Hubbard	17BIT	1989
76c66622ed74	Brimble_Allister/Very_Best_of_Rob_Hubbard	17BIT	1989
d13682aff4ad	Brimble_Allister/Very_Best_of_Rob_Hubbard	17BIT	1989
64ded63ad5cf	Brimble_Allister/Very_Best_of_Rob_Hubbard	17BIT	1989
f4a167451db1	Brimble_Allister/Very_Best_of_Rob_Hubbard	17BIT	1989
a08b112c1e28	Brimble_Allister/Very_Best_of_Rob_Hubbard	17BIT	1989
6d30494f4b30	Brimble_Allister/Very_Best_of_Rob_Hubbard	17BIT	1989
8fc419f5d9ff	Brimble_Allister/Very_Best_of_Rob_Hubbard	17BIT	1989
bbfa90445ae1	Brimble_Allister/Very_Best_of_Rob_Hubbard	17BIT	1989
b8065df77164	Brimble_Allister/Very_Best_of_Rob_Hubbard	17BIT	1989
b939ca600990	Brimble_Allister/Very_Best_of_Rob_Hubbard	17BIT	1989
dac139ff0342	Brown_Jim/Sonix_Sounds	17BIT	1989
3f08de5fa35b	Brown_Jim/Sonix_Sounds	17BIT	1989
8ed7a9c3c419	Ceedigh_Sven-Erik/Mindabuse	Limited Edition	1996
ebe07fd6e58f	Collier_Kevin/Amazing_Tunes_2	Share And Enjoy	1990
2d624679ca1e	Collier_Kevin/Amazing_Tunes_2	Share And Enjoy	1990
7b73884fd597	Collier_Kevin/Amazing_Tunes_2	Share And Enjoy	1990
9c43b869df9b	Collier_Kevin/Amazing_Tunes_2	Share And Enjoy	1990
47c80afeffaa	Collier_Kevin/Amazing_Tunes_2	Share And Enjoy	1990
bfd0e4cf35a4	Collier_Kevin/Amazing_Tunes_2	Share And Enjoy	1990
77caf2ed0a6a	Dahlgren_Tomas/185_Bobs	Neutron Dance	
af5d1b31b2bf	Dahlgren_Tomas/Amazing_Tunes_2	Share And Enjoy	1990
af1eb0f66ac9	Dahlgren_Tomas/Amazing_Tunes_2	Share And Enjoy	1990
438fceccbcb6	Dahlgren_Tomas/Amazing_Tunes_2	Share And Enjoy	1990
345fac0a5e43	Dahlgren_Tomas/Mental_Hangover	Scoopex	1990
e58d274131fe	Deenen_Charles/Habitual_Novelty	Razor 1911	1990
41c8f4203f2f	Delisle_Sebastian/Amazing_Tunes_2	Share And Enjoy	1990
d59c35f864ef	Delisle_Sebastian/Amazing_Tunes_2	Share And Enjoy	1990
34a832bb1613	Delteil_Herve/Cuzco	Oxygen	1994
5b090654ad32	Drift/Models_Inc	Cydonia	1994
12b76aeb8604	Drift/Red_Planet	Cydonia	1994
28de9d8e8d4b	Drift/Red_Planet	Cydonia	1994
5a7a7268605e	Eeben_Aleksi/Full_Moon/Bonus	Virtual Dreams	1993
1e402ddba48c	Eeben_Aleksi/Full_Moon	Virtual Dreams	1993
418ea7f6bdd2	Engels_Timm/Demons_Are_Forever	Doctor Mabuse Orgasm Crackings	1988
a0e56e2e3ce5	Essl_George/Dragons_Megademo_1	Dragons	1990
68b47cd7d000	Essl_George/Dragons_Megademo_1	Dragons	1990
a0c0e37dd23e	Feldkoetter_Jochen/In_the_Kitchen	Anarchy	1992
d2a888bb8dcc	Feldkoetter_Jochen/Interference	Sanity	1993
75dc2e89d652	Feldkoetter_Jochen/Interference	Sanity	1993
f68732354bb0	Feldkoetter_Jochen/Misery_Dentro_2	Masque/TRSI	1993
4578de1eb839	Ferry_Victorien/Aerial	Mankind	1996
1ef748a0ec61	Frame/WC_goes_to_WC	Zymosis	1995
9504c1128e1b	Frick_Richard/Cream	Absolute!	1994
270491231e2b	Frick_Richard/The_Final_Condom	Delon Dezign	1994
ebb15f8f5ed9	Frick_Richard/The_Final_Condom	Delon Dezign	1994
15ceee40afc6	Fyrek_Mikael/Assembly_95_40k_intro	C-Lous	1995
51d7f163163f	Gausen_Tor/Party_Time	Cryptoburners	1991
cf4049700867	Gausen_Tor/Party_Time	Cryptoburners	1991
a7521e0f26f6	Gausen_Tor/The_Dancing_Bolls	Neutron Dance	
80a92c78ed03	Gesqua_Raphael/Virtual_World	Tom Soft	1991
86eba4190c26	Gesqua_Raphael/Virtual_World	Tom Soft	1991
ef9750e9651c	Gibbon_Jonathan/Rerun!	Cydonia	1995
4ac526d4e25e	Gordon_Peter/Welcome_To_Our_World	Darkage	2000
f052178bece7	Gordon_Peter/Welcome_To_Our_World	Darkage	2000
bc0366316134	Gray_Graham/Jesus_On_Es/Unused	LSD	1992
f73def5bea3c	Gray_Graham/Jesus_On_Es	LSD	1992
9c1ff865d457	Gray_Graham/Jesus_On_Es	LSD	1992
69fce3376d52	Gray_Graham/Jesus_On_Es	LSD	1992
ccf54c3a04a7	Gray_Graham/Jesus_On_Es	LSD	1992
f81c04d6780c	Gray_Graham/Jesus_On_Es	LSD	1992
4fed11322d52	Gray_Graham/Jesus_On_Es	LSD	1992
6c7106cc7488	Gray_Graham/Jesus_On_Es	LSD	1992
8c74589363f7	Gray_Graham/Jesus_On_Es	LSD	1992
6df0e90dab3d	Gray_Graham/Jesus_On_Es	LSD	1992
d4b726c89802	Gray_Graham/Jesus_On_Es	LSD	1992
2548141e63b2	Gray_Graham/Jesus_On_Es	LSD	1992
ed2beaee258e	Gray_Graham/Jesus_On_Es	LSD	1992
97e49032d90e	Gray_Graham/Jesus_On_Es	LSD	1992
d6663baa4a86	Gray_Graham/Jesus_On_Es	LSD	1992
7eca111dc39c	Gray_Graham/Jesus_On_Es	LSD	1992
fa7a0ce347dd	Greve_Andre/Switchback	Rebels	1994
237ab49a06d5	Greve_Andre/Switchback	Rebels	1994
39608baa103e	Greve_Andre/Switchback	Rebels	1994
da5548d6b7c8	Hansen_Anders/D_A_N_E	Kefrens	1993
b3669a3599cb	Hansen_Anders/Desert_Dream	Kefrens	1993
487cb10dac64	Hansen_Anders/Desert_Dream	Kefrens	1993
b3659301b360	Hansen_Anders/Desert_Dream	Kefrens	1993
e4ee8d7fc8a7	Hansen_Anders/Desert_Dream	Kefrens	1993
b2f02ec87755	Hansen_Frederik/Emptyhead	Rednex	1993
